[rf12listener] - print received packets
 Z i26 g212 @ 868 MHz 
Node 1 Temp 25.98 C
Node 2 Temp 31.71 C
Node 1 Temp 25.98 C
Node 2 Temp 32.53 C
Node 1 Temp 25.98 C
Node 2 Temp 31.71 C
Node 2 Temp 31.71 C
Node 1 Temp 25.98 C
Node 2 Temp 31.71 C
Node 1 Temp 25.98 C
Node 2 Temp 31.71 C
Node 1 Temp 25.98 C
Node 2 Temp 31.71 C
Node 1 Temp 25.98 C
Node 2 Temp 31.71 C
Node 1 Temp 25.98 C
Node 2 Temp 31.71 C
Node 1 Temp 25.98 C
Node 2 Temp 31.71 C
Node 1 Temp 25.16 C
Node 2 Temp 32.53 C
Node 1 Temp 25.98 C
Node 2 Temp 31.71 C
Node 1 Temp 25.98 C
Node 2 Temp 31.71 C
Node 1 Temp 25.98 C
